lastName,firstName,UID,state,party,district
O'Konski,Alvin,O000058,Wisconsin,Republican,10
Mundt,Karl,M001078,South Dakota,Republican,
Morton,Rogers,M001021,Maryland,Republican,1
Morse,Frank,M001009,Massachusetts,Republican,5
Monagan,John,M000847,Connecticut,Democratic,5
Miller,Jack,M000730,Iowa,Republican,
Miller,George,M000727,California,Democratic,8
McMillan,John,M000568,South Carolina,Democratic,6
McKevitt,James,M000513,Colorado,Republican,1
McDonald,Jack,M000410,Michigan,Republican,19
McCulloch,William,M000393,Ohio,Republican,4
Long,Speedy,L000429,Louisiana,Democratic,8
Lloyd,Sherman,L000382,Utah,Republican,2
Link,Arthur,L000333,North Dakota,Democratic,2
Lennon,Alton,L000240,North Carolina,Democratic,7
Kyl,John,K000351,Iowa,Republican,4
Keith,Hastings,K000053,Massachusetts,Republican,12
Kee,James,K000038,West Virginia,Democratic,5
Jordan,Leonard,J000269,Idaho,Republican,
Jordan,Benjamin,J000267,North Carolina,Democratic,
Jonas,Charles,J000206,North Carolina,Republican,9
Hull,William,H000947,Missouri,Democratic,6
Hicks,Louise,H000566,Massachusetts,Democratic,9
Harris,Fred,H000237,Oklahoma,Democratic,
Halpern,Seymour,H000085,New York,Republican,6
Hall,Durward,H000049,Missouri,Republican,7
Hagen,George,H000010,Georgia,Democratic,1
Griffin,Charles,G000458,Mississippi,Democratic,3
Garmatz,Edward,G000071,Maryland,Democratic,3
Gambrell,David,G000034,Georgia,Democratic,
Gallagher,Cornelius,G000016,New Jersey,Democratic,13
Galifianakis,Nick,G000015,North Carolina,Democratic,4
Fulton,James,F000422,Pennsylvania,Republican,27
Ellender,Allen,E000112,Louisiana,Democratic,
Edwards,Elaine,E000068,Louisiana,Democratic,
Edwards,Edwin,E000067,Louisiana,Democratic,7
Edmonds,Edmond,E000054,Oklahoma,Democratic,2
